,syserr,ref_type,ref_scale,deblurr,psd_noise,psd_a,psd_u0,psd_b,psd_c,fwhm,amp,simple,tv,tv2
628,0.0,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,0.1,0.1,0.1,0.01
629,0.02,dime,2.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.01,0.1
630,0.02,dime,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.01,0.01
631,0.05,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
632,0.05,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.01,0.1
633,0.0,dime,1.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.1,0.0
634,0.02,dime,2.0,True,True,0.015,2.0,1.0,2.0,80,1.0,0.01,0.1,0.1
635,0.0,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.01,0.1,0.01
636,0.02,dime,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
637,0.02,quarter1,1.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.01,0.1,0.01
638,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,90,0.1,0.1,0.01,0.1
639,0.0,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
640,0.05,quarter1,1.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.01,0.1,0.01
641,0.05,dime,1.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.1,0.01
642,0.05,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.01,0.1,0.0
643,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
644,0.02,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.01
645,0.02,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.01,0.1,0.0
646,0.05,quarter1,2.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.01,0.01
647,0.02,quarter1,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.0
648,0.05,dime,2.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
649,0.05,quarter1,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.1
650,0.02,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,80,1.0,0.1,0.01,0.1
651,0.05,dime,1.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.01,0.1,0.0
652,0.05,quarter1,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.0
653,0.05,quarter1,2.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.0,0.1
654,0.05,dime,1.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,1.0,0.01
655,0.02,dime,2.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,0.1
656,0.05,dime,2.0,True,True,0.02,2.0,3.0,2.0,80,1.0,0.0,0.1,0.0
657,0.05,dime,1.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.1,0.1
658,0.0,dime,2.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,0.01,0.1
659,0.05,quarter1,2.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
660,0.05,quarter1,2.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.1,0.0
661,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.0
662,0.0,dime,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.0,0.1,0.01
663,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.01,0.1,0.0
664,0.0,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.01,0.0
665,0.02,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.01,0.1,0.0
666,0.0,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.1
667,0.02,quarter1,1.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.01,0.1
668,0.05,dime,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
669,0.02,dime,2.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
670,0.05,dime,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
671,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
672,0.05,dime,2.0,True,True,0.02,2.0,3.0,2.0,70,1.0,0.01,0.1,0.01
673,0.0,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.1,1.0,0.0
674,0.02,dime,1.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.01,0.1,0.01
675,0.02,dime,1.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.01,0.1,0.01
676,0.02,dime,1.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.01,0.1
677,0.0,dime,1.0,True,True,0.015,2.0,1.0,2.0,70,1.0,0.1,0.0,0.1
678,0.05,quarter1,2.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,0.01,0.1
679,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.01,0.1,0.0
680,0.02,quarter1,2.0,True,True,0.025,2.0,1.0,2.0,90,1.0,0.1,0.0,0.01
681,0.02,dime,2.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.01,0.01
682,0.05,dime,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.01
683,0.02,dime,1.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.0,0.1
684,0.05,dime,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.1,0.1
685,0.02,quarter1,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
686,0.0,dime,2.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.01,0.1,0.0
687,0.02,dime,2.0,True,True,0.02,2.0,1.0,2.0,70,1.0,0.01,0.1,0.1
688,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
689,0.02,quarter1,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.1,0.0
690,0.02,dime,2.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.0,0.01
691,0.05,quarter1,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.01
692,0.0,dime,1.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.1,0.1,0.1
693,0.0,dime,1.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,0.1,0.1
694,0.0,dime,1.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.01,0.1,0.0
695,0.05,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,1.0,0.1,0.0
696,0.02,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.01
697,0.05,quarter1,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.0,0.1
698,0.0,dime,1.0,True,False,1.0,1.0,1.0,1.0,70,1.0,0.1,1.0,0.01
699,0.0,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.0,0.1
700,0.02,dime,2.0,True,False,1.0,1.0,1.0,1.0,90,0.1,0.1,0.01,0.01
701,0.02,dime,1.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,0.0,0.0
702,0.05,dime,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.01
703,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.01,0.1,0.01
704,0.05,dime,1.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
705,0.0,dime,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.0,0.1,0.0
706,0.02,dime,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.1
707,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,0.01,0.1
708,0.02,dime,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.01,0.1,0.01
709,0.05,dime,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.1,0.0
710,0.02,quarter1,1.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.01,0.1,0.0
711,0.0,dime,1.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.01,0.1,0.0
712,0.05,dime,2.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.01,0.1
713,0.02,dime,2.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.01,0.0
714,0.02,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.01,0.0
715,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,0.0,0.1
716,0.0,dime,2.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.01,0.1,0.01
717,0.05,quarter1,1.0,True,False,1.0,1.0,1.0,1.0,90,1.0,1.0,1.0,0.1
718,0.05,dime,2.0,True,True,0.02,2.0,3.0,2.0,80,1.0,0.1,0.01,0.1
719,0.05,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,0.01,0.1
720,0.02,quarter1,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,1.0,0.1
721,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,1.0,0.01,0.1
722,0.0,dime,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.1,0.0,0.01
723,0.02,quarter1,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.01,0.0
724,0.02,dime,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.01
725,0.0,dime,1.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.01,0.1
726,0.02,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.01,0.01
727,0.05,quarter1,2.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.1,0.1
728,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.01,0.1
729,0.0,dime,2.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.0,0.1,0.01
730,0.05,quarter1,1.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.01,0.1,0.01
731,0.05,dime,1.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.1,0.1,0.1
732,0.02,quarter1,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.01
733,0.02,quarter1,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.01,0.01
734,0.02,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.01,0.1,0.0
735,0.02,quarter1,2.0,True,True,0.02,2.0,5.0,2.0,70,1.0,0.01,0.1,0.01
736,0.02,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
737,0.0,dime,1.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.1,0.0
738,0.05,dime,2.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.01,0.01
739,0.05,quarter1,1.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.1
740,0.05,quarter1,2.0,True,False,1.0,1.0,1.0,1.0,90,1.0,0.1,0.01,0.1
741,0.05,quarter1,2.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.01,0.01
742,0.0,dime,2.0,True,True,0.02,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
743,0.02,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.01
744,0.02,dime,1.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.01,0.1,0.0
745,0.05,quarter1,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.01
746,0.05,dime,1.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.01,0.0
747,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
748,0.05,dime,1.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.1,0.1,0.0
749,0.0,dime,2.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.1,0.01,0.1
750,0.05,quarter1,1.0,True,True,0.015,2.0,2.0,2.0,90,1.0,0.1,0.1,0.0
751,0.0,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.0
752,0.0,dime,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.1,0.1,0.0
753,0.05,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.1,0.01
754,0.02,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.1
755,0.02,dime,1.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.01,0.0
756,0.02,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.01
757,0.0,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.1,0.0
758,0.05,dime,1.0,True,True,0.025,2.0,1.0,2.0,90,1.0,0.01,0.1,0.01
759,0.0,dime,1.0,True,True,0.025,2.0,1.0,2.0,90,1.0,0.01,0.1,0.0
760,0.02,quarter1,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.1,0.0
761,0.02,quarter1,1.0,True,True,0.025,2.0,1.0,2.0,90,1.0,0.1,0.1,0.1
762,0.02,quarter1,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.01,0.01
763,0.02,quarter1,2.0,True,True,0.02,2.0,1.0,2.0,90,1.0,0.1,0.01,0.01
764,0.02,dime,2.0,True,True,0.025,2.0,5.0,2.0,90,1.0,0.1,0.1,0.1
765,0.05,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.01,0.1,0.0
766,0.02,dime,2.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.0
767,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.01,0.1
