,syserr,ref_type,ref_scale,deblurr,psd_noise,psd_a,psd_u0,psd_b,psd_c,fwhm,amp,simple,tv,tv2
0,0.0,dime,2.0,True,True,0.015,2.0,2.0,2.0,80,0.1,0.1,0.1,0.0
1,0.0,dime,1.0,True,True,0.02,2.0,5.0,2.0,80,1.0,0.1,1.0,0.1
2,0.05,quarter1,1.0,True,True,0.015,2.0,3.0,2.0,70,0.1,0.0,0.1,0.0
3,0.05,quarter1,1.0,True,True,0.02,2.0,1.0,2.0,80,1.0,0.1,0.01,0.1
4,0.0,dime,2.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.01,0.1,0.0
5,0.05,dime,2.0,True,True,0.015,2.0,1.0,2.0,70,1.0,0.1,0.1,1.0
6,0.05,dime,1.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.01,0.1,0.0
7,0.05,quarter1,1.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.1,0.1,0.01
8,0.02,quarter1,1.0,True,True,0.02,2.0,2.0,2.0,70,1.0,0.1,1.0,0.01
9,0.05,dime,2.0,True,True,0.025,2.0,1.0,2.0,70,1.0,0.01,0.1,0.0
10,0.0,dime,2.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,1.0,0.01
11,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,70,0.1,0.1,0.01,0.0
12,0.05,dime,1.0,True,True,0.015,2.0,3.0,2.0,90,1.0,1.0,0.01,1.0
13,0.05,quarter1,1.0,True,True,0.02,2.0,3.0,2.0,80,1.0,1.0,1.0,0.0
14,0.05,dime,2.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.01,1.0,0.1
15,0.05,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,0.1,0.1
16,0.05,dime,2.0,True,True,0.015,2.0,2.0,2.0,80,0.1,0.1,0.01,0.1
17,0.02,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,1.0,0.01
18,0.05,dime,2.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.0,0.01
19,0.05,dime,1.0,True,True,0.02,2.0,3.0,2.0,80,1.0,0.1,0.1,0.0
20,0.05,dime,2.0,True,True,0.015,2.0,2.0,2.0,80,1.0,0.0,1.0,0.1
21,0.0,dime,2.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.0,0.01
22,0.0,dime,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.1,0.1
23,0.02,dime,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.0,0.1
24,0.0,dime,2.0,True,True,0.015,2.0,2.0,2.0,90,1.0,1.0,0.0,0.0
25,0.02,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.0
26,0.05,quarter1,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.0,0.01
27,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.0,1.0,1.0
28,0.0,dime,1.0,True,False,1.0,1.0,1.0,1.0,90,0.1,1.0,0.1,1.0
29,0.0,dime,2.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,0.1,0.1
30,0.02,quarter1,2.0,True,True,0.02,2.0,3.0,2.0,80,1.0,0.1,0.1,0.1
31,0.02,dime,1.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.0,1.0,1.0
32,0.0,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.1,1.0,0.01
33,0.0,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,70,0.1,0.01,0.1,0.0
34,0.05,dime,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,0.1,0.1,0.01
35,0.05,dime,1.0,True,True,0.025,2.0,1.0,2.0,80,0.1,0.1,0.01,0.1
36,0.02,quarter1,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,1.0,0.0
37,0.05,dime,1.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.1,0.1
38,0.05,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,1.0,1.0,0.0
39,0.05,quarter1,2.0,True,True,0.02,2.0,3.0,2.0,70,0.1,0.1,0.1,0.0
40,0.02,dime,2.0,True,False,1.0,1.0,1.0,1.0,80,1.0,0.01,1.0,0.1
41,0.0,dime,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,1.0,0.1,0.01
42,0.02,dime,2.0,True,True,0.025,2.0,5.0,2.0,70,1.0,0.0,1.0,0.0
43,0.0,dime,1.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.1,1.0,0.0
44,0.05,dime,1.0,True,True,0.02,2.0,2.0,2.0,70,1.0,0.1,1.0,0.0
45,0.05,quarter1,2.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,0.1,0.1
46,0.05,quarter1,1.0,True,True,0.015,2.0,3.0,2.0,90,1.0,0.1,0.1,0.0
47,0.02,quarter1,2.0,True,False,1.0,1.0,1.0,1.0,70,0.1,0.1,0.0,0.0
48,0.0,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.1,0.1,0.1
49,0.0,dime,1.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.1,1.0,1.0
50,0.05,dime,1.0,True,True,0.015,2.0,2.0,2.0,90,1.0,1.0,0.1,0.01
51,0.02,dime,1.0,True,True,0.02,2.0,5.0,2.0,90,1.0,0.01,0.1,0.0
52,0.0,quarter1,1.0,True,True,0.025,2.0,2.0,2.0,70,0.1,0.1,0.01,0.01
53,0.0,dime,2.0,True,True,0.025,2.0,3.0,2.0,90,1.0,0.1,0.0,0.01
54,0.02,dime,1.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,0.1,0.1
55,0.0,dime,2.0,True,True,0.015,2.0,2.0,2.0,70,1.0,0.0,1.0,0.01
56,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,80,1.0,0.1,0.01,0.1
57,0.02,dime,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.01,1.0,0.0
58,0.05,quarter1,2.0,True,True,0.025,2.0,3.0,2.0,80,1.0,0.1,1.0,0.0
59,0.05,quarter1,2.0,True,True,0.02,2.0,1.0,2.0,80,0.1,0.01,0.1,0.0
60,0.02,dime,1.0,True,True,0.02,2.0,2.0,2.0,90,1.0,0.01,0.1,0.0
61,0.0,dime,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,0.01,1.0,0.01
62,0.02,dime,1.0,True,True,0.015,2.0,5.0,2.0,70,1.0,0.01,0.1,0.01
63,0.02,quarter1,1.0,True,True,0.025,2.0,1.0,2.0,70,1.0,0.1,0.0,0.0
64,0.02,dime,1.0,True,True,0.015,2.0,5.0,2.0,90,0.1,0.1,0.1,0.1
65,0.0,dime,1.0,True,True,0.015,2.0,1.0,2.0,90,1.0,0.1,0.01,0.01
66,0.05,dime,2.0,True,True,0.02,2.0,5.0,2.0,80,1.0,0.0,1.0,0.01
67,0.05,quarter1,1.0,True,True,0.025,2.0,2.0,2.0,80,1.0,0.1,0.1,0.1
68,0.05,quarter1,1.0,True,True,0.015,2.0,1.0,2.0,90,1.0,1.0,0.1,1.0
69,0.05,dime,2.0,True,True,0.02,2.0,2.0,2.0,90,1.0,1.0,0.1,0.1
70,0.02,dime,2.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,1.0,0.01
71,0.02,quarter1,1.0,True,True,0.015,2.0,3.0,2.0,80,1.0,1.0,1.0,0.1
72,0.05,dime,1.0,True,True,0.025,2.0,1.0,2.0,80,1.0,0.1,0.1,0.1
73,0.0,dime,2.0,True,True,0.025,2.0,5.0,2.0,80,1.0,0.1,0.01,0.01
74,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.01,1.0,0.1
75,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,80,0.1,0.0,0.1,0.01
76,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,90,0.1,0.1,0.1,0.1
77,0.0,quarter1,1.0,True,True,0.015,2.0,5.0,2.0,90,1.0,1.0,0.1,0.1
78,0.02,dime,1.0,True,True,0.025,2.0,2.0,2.0,90,1.0,0.1,0.01,0.1
79,0.05,dime,2.0,True,False,1.0,1.0,1.0,1.0,70,0.1,0.01,0.1,0.01
80,0.02,dime,2.0,True,True,0.015,2.0,5.0,2.0,90,0.1,0.1,0.0,0.01
81,0.05,quarter1,2.0,True,True,0.015,2.0,5.0,2.0,80,1.0,0.1,0.0,0.1
